,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,VaR (95%),CVaR (95%),Hit Ratio,Skewness,Kurtosis,Average Turnover
PPO,0.9710229031182758,0.17686324911175255,0.23193072292760686,0.6763366540305861,1.215418761242496,0.44706973356578983,0.39560550811862494,0.021817983773033914,0.03569104983306015,0.5428571428571428,-0.19366769642715184,4.516686707767931,0.03381661472576005
Equal-Weight,0.8622978809240895,0.15598760693166924,0.23164923064595705,0.5870410471576614,1.0712390703557189,0.43039551380360835,0.3624285150027079,0.022302335255549418,0.035492079818307765,0.5448658649398704,-0.18037833968194938,4.225354270974494,0.0
Buy-and-Hold,0.8622978809240895,0.15598760693166924,0.23164923064595705,0.5870410471576614,1.0712390703557189,0.43039551380360835,0.3624285150027079,0.022302335255549418,0.035492079818307765,0.5448658649398704,-0.18037833968194938,4.225354270974494,0.0
Momentum,0.9158081612871063,0.16364683394682267,0.32371659913086653,0.4437425647387072,0.8567227769884751,0.4988897648792903,0.3280220310521265,0.03265871046642402,0.046558746960348056,0.42645698427382056,0.37964512446701,3.969777428510417,0.3651010986215731
Mean-Variance,-0.3806648107145887,-0.10567729674402138,0.4012685271620338,-0.3131999851393089,-0.4000837153837892,0.7355942348377125,-0.14366248638060086,0.04088948428182041,0.06365263920597078,0.4606845513413506,-0.3086820338934855,4.795809123747747,0.25630782949466224
