,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,VaR (95%),CVaR (95%),Hit Ratio,Skewness,Kurtosis,Average Turnover
Equal-Weight,1.3343448105871816,0.1566447410475722,0.16713967738295343,0.8175481919501933,1.5140886641106734,0.3767322354472041,0.4157986132023594,0.01676831900405896,0.02526913940561626,0.5483651226158038,-0.1465056831511637,3.951366100340093,0.0
Buy-and-Hold,1.3343448105871816,0.1566447410475722,0.16713967738295343,0.8175481919501933,1.5140886641106734,0.3767322354472041,0.4157986132023594,0.01676831900405896,0.02526913940561626,0.5483651226158038,-0.1465056831511637,3.951366100340093,0.0
PPO,0.9223118396113446,0.12233281046510136,0.16884291601610804,0.6060829372038241,1.1698845381654885,0.38809335594270516,0.3152149053620015,0.01728423139901522,0.025455868343480324,0.5416958654519972,-0.11601281060364192,3.887413408788798,0.020631146116656028
Momentum,1.7109836520054342,0.1867288050446596,0.32326287754517935,0.5157684863501146,0.8918901157008756,0.5751924285107959,0.3246371054085509,0.029244465281920786,0.04815961617875364,0.4550408719346049,-0.8976209015994367,14.897958629387542,0.31750703417093296
Mean-Variance,-0.12530074945713154,-0.02271923676973564,0.47732507579084366,-0.08949715599784358,-0.07323255386391639,0.7978954010080075,-0.02847395378019936,0.04478384731837141,0.07375495052017444,0.47547683923705725,-0.24392384130516462,10.519599541776328,0.24592619807300373
