,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,VaR (95%),CVaR (95%),Hit Ratio,Skewness,Kurtosis,Average Turnover
PPO,1.010664601905328,0.1789830606500573,0.24003678382818117,0.662327907058852,1.1861060527711187,0.45419744202091844,0.39406444002345153,0.02334166348508949,0.03730484347546126,0.5416276894293732,-0.16567426770701393,4.5042760847329,0.1142565464177513
Equal-Weight,0.8312612816551861,0.1501273841338704,0.23167840184073382,0.5616724869473411,1.0296361307945399,0.43039551380360913,0.3488126137912627,0.022385158753457014,0.03564804039177822,0.544954128440367,-0.18400030267281905,4.185804838328148,0.0
Buy-and-Hold,0.8312612816551861,0.1501273841338704,0.23167840184073382,0.5616724869473411,1.0296361307945399,0.43039551380360913,0.3488126137912627,0.022385158753457014,0.03564804039177822,0.544954128440367,-0.18400030267281905,4.185804838328148,0.0
Momentum,0.475236344145044,0.09405602791406475,0.3234783916285276,0.2289365528907055,0.4891629337219,0.5620520487978804,0.1673439819590236,0.0327175653310969,0.04686473061453621,0.42293577981651376,0.3710351522844084,3.97336258824836,0.3661997911189216
Mean-Variance,-0.47999578928827247,-0.14030802949359,0.4003815279220343,-0.4003881755624014,-0.5302287793650022,0.7653870633580568,-0.18331643714750415,0.04087218068725371,0.0639994056693951,0.4559633027522936,-0.31738952113516933,4.849874925935746,0.25419152633379777
