,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,VaR (95%),CVaR (95%),Hit Ratio,Skewness,Kurtosis,Average Turnover
Mean-Variance,3.1049281754478883,0.12259588943189903,0.2187766146786075,0.46895272414109207,0.9974234327202326,0.43123373087278744,0.2842910483458086,0.03910640495905197,0.06921671176910643,0.3480314960629921,1.2577720238197416,12.22350031222445,0.38951786063319555
Equal-Weight,0.7653840254470836,0.04764369385707612,0.07110436413437672,0.3887763317147964,1.1101703573847836,0.20964587850598349,0.2272579561143928,0.014593556548783405,0.023968241475534474,0.5700787401574803,0.12056838268796774,7.917713433484922,0.0
Buy-and-Hold,0.7653840254470836,0.04764369385707612,0.07110436413437672,0.3887763317147964,1.1101703573847836,0.20964587850598349,0.2272579561143928,0.014593556548783405,0.023968241475534474,0.5700787401574803,0.12056838268796774,7.917713433484922,0.0
PPO,0.6932581700659701,0.046072658348559115,0.0742908615548115,0.3509537755100984,1.0282329382408828,0.2164821468769752,0.21282428603565992,0.015840060873574972,0.024883501322007166,0.5641447368421053,0.18243849095479492,7.646074866555315,0.024201208917183453
Momentum,0.38160424769750456,0.02682393814238293,0.0953150637471905,0.07159349083039429,0.414450038598705,0.3419484444058461,0.07844439295225036,0.017405790777595086,0.03399155140142282,0.43622047244094486,-1.1797035158242504,13.822323649596562,0.28145769760290057
