,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,VaR (95%),CVaR (95%),Hit Ratio,Skewness,Kurtosis,Average Turnover
Equal-Weight,0.8871279588894647,0.158615214475897,0.23177089034388001,0.5980699917501835,1.0875485606925337,0.4303955138036078,0.3685336147538799,0.022407746980159085,0.03564804039177822,0.546458141674333,-0.18811901219990795,4.193062118917263,0.0
Buy-and-Hold,0.8871279588894647,0.158615214475897,0.23177089034388001,0.5980699917501835,1.0875485606925337,0.4303955138036078,0.3685336147538799,0.022407746980159085,0.03564804039177822,0.546458141674333,-0.18811901219990795,4.193062118917263,0.0
PPO,0.7053356781963211,0.13584289670775207,0.24036689860566507,0.4819419702951637,0.8874881583251147,0.48795969429216385,0.27838958482996484,0.022743494256294437,0.03741125029767741,0.5284090909090909,-0.2653873160484208,4.6938704213305105,0.05031412699238651
Momentum,0.9025035101334371,0.1607968634941188,0.2942111917817982,0.478557129799946,0.9128216650222061,0.4657150580785087,0.3452687661797962,0.029786333280965607,0.04296502841909972,0.45538178472861085,0.28033302621825956,4.127904263160315,0.3140062366542692
Mean-Variance,-0.34586984024391443,-0.09371395794415538,0.40011586024040996,-0.2842025754136071,-0.3558742834622344,0.728900200851034,-0.12856898356556742,0.04087794854638387,0.06351393262060105,0.46550137994480223,-0.3085571320561016,4.821753827328475,0.2548930668701717
